CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,19,4,5,27.07,"1,488.35",163.30,225,"1,427.25","1,441.40",75,"23,600.00","1,350",27.45,27.65,150,-3.15,27.55,23.81,"5,038",889,"2,256",
,7,-,-,-,-,-,150,"1,370.95","1,397.60",150,"23,650.00","1,500",29.80,30.30,525,-3.45,30.15,23.54,"1,086",30,431,
,162,1,6,29.68,"1,334.05",115.45,150,"1,332.10","1,344.50",75,"23,700.00",525,32.45,32.70,300,-3.50,32.60,23.27,"6,567","1,011","3,855",
,9,-,-,-,-,-,750,"1,273.00","1,305.35",225,"23,750.00",150,35.55,35.80,150,-3.65,35.95,23.20,"1,222",64,424,
,29,-28,51,19.20,"1,260.00",115.00,300,"1,238.05","1,248.75",750,"23,800.00",525,38.70,38.85,150,-4.20,38.90,22.95,"8,675",549,"3,106",
,11,-,-,-,-,-,225,"1,183.35","1,211.55",225,"23,850.00",525,42.15,42.55,75,-5.50,41.80,22.79,"1,813",281,616,
,57,-6,37,16.94,"1,146.10",108.75,750,"1,149.10","1,155.00",225,"23,900.00",75,45.85,46.15,300,-4.55,46.65,22.47,"5,588",691,"2,042",
,19,-,-,-,-,-,225,"1,091.65","1,120.10",225,"23,950.00",600,49.95,50.30,225,-5.50,50.40,22.40,"2,089",185,546,
,664,24,200,17.52,"1,055.05",103.95,750,"1,059.05","1,063.95",150,"24,000.00",150,54.65,54.85,150,-6.10,54.55,22.19,"23,635","2,884","10,615",
,11,-7,24,17.74,"1,020.35",67.55,75,"1,013.30","1,023.30",225,"24,050.00",450,59.55,60.15,300,-5.60,61.10,22.05,"1,284",121,419,
,128,12,42,17.94,972.85,108.25,750,970.05,974.95,300,"24,100.00",150,65.00,65.20,75,-7.35,65.45,21.82,"6,848",740,"2,509",
,42,-,8,-,923.00,108.95,375,925.30,933.80,225,"24,150.00","1,050",71.00,71.70,225,-9.10,70.25,21.66,"1,216",158,872,
,364,74,177,17.75,885.00,110.20,750,883.05,887.80,150,"24,200.00",75,77.90,78.20,75,-8.00,78.55,21.48,"12,472",155,"3,925",
,24,2,14,18.07,837.50,96.20,750,840.35,847.80,75,"24,250.00",525,84.65,85.35,75,-9.75,85.15,21.23,"1,413",52,544,
,366,-16,179,17.99,795.10,98.60,750,797.65,801.95,75,"24,300.00",225,92.55,93.00,450,-10.10,93.30,21.15,"16,022","2,530","6,777",
,86,4,24,18.14,755.05,99.50,75,758.05,761.95,375,"24,350.00",150,101.15,101.65,300,-11.95,101.10,20.86,"1,917",17,608,
,"1,108",-29,320,18.51,714.25,98.25,75,717.10,719.80,75,"24,400.00",150,110.85,111.30,375,-12.80,111.05,20.85,"10,285",957,"3,561",
,58,-19,88,19.56,679.95,101.45,75,677.40,680.95,375,"24,450.00",75,120.55,121.15,150,-14.35,120.95,20.58,"2,711",246,602,
,"3,996",-295,"2,746",18.06,642.00,97.85,75,640.35,642.05,150,"24,500.00",150,131.65,132.05,150,-15.50,132.15,20.55,"29,341",944,"8,982",
,282,26,543,18.34,598.60,93.50,300,601.20,603.25,75,"24,550.00",150,143.70,144.25,75,-17.40,144.50,20.31,"3,705",249,"1,005",
,"2,257",-106,"1,520",18.25,561.70,92.70,75,563.90,566.00,75,"24,600.00",75,156.75,157.25,150,-19.35,157.45,20.32,"16,239",726,"6,391",
,567,-7,473,18.16,526.05,89.55,75,528.55,530.30,75,"24,650.00",75,170.75,171.40,75,-22.10,170.65,20.20,"3,256",-74,"1,042",
,"2,332",-158,"2,799",17.92,491.60,87.80,300,493.95,495.70,75,"24,700.00",75,185.95,186.60,600,-22.80,187.00,20.16,"12,175",610,"5,723",
,795,-178,"1,010",18.13,456.20,84.15,75,459.90,461.55,300,"24,750.00",75,201.80,202.40,75,-26.00,201.80,20.00,"3,780",22,"1,185",
,"5,399",-745,"9,280",18.04,428.00,85.30,150,427.75,428.75,150,"24,800.00",450,219.35,220.15,750,-28.80,219.15,19.88,"20,494",858,"6,450",
,"1,146",-370,"3,158",17.78,394.55,79.85,75,396.80,397.95,75,"24,850.00",75,237.80,238.40,75,-30.10,238.80,19.63,"5,938",51,"1,361",
,"5,732",-539,"16,668",17.61,366.80,80.15,750,366.80,367.65,150,"24,900.00",150,257.85,258.50,150,-33.50,257.80,19.73,"20,837","1,600","5,766",
,"1,714",69,"6,991",17.65,339.05,78.45,75,338.75,339.50,450,"24,950.00",75,278.95,279.70,225,-36.20,278.95,19.66,"7,697",530,"1,529",
,"23,299","7,352","55,035",17.57,313.75,76.30,225,312.35,312.95,225,"25,000.00",75,301.35,302.10,450,-39.55,301.35,19.60,"47,936","6,936","14,754",
,"2,435",985,"11,475",17.44,284.50,70.55,600,285.20,285.70,75,"25,050.00",150,324.90,325.75,450,-44.40,325.00,19.47,"6,690",970,"1,315",
,"10,477","5,043","33,009",17.48,260.30,67.05,225,260.25,260.55,450,"25,100.00",150,350.75,351.75,450,-44.10,352.85,19.38,"16,707","3,429","6,479",
,"1,996",-121,"6,594",17.55,236.70,64.05,300,237.20,237.75,75,"25,150.00",375,376.75,378.20,150,-51.60,375.95,19.41,"2,244",437,614,
,"7,739","2,583","23,359",17.27,215.80,60.60,750,215.55,216.00,150,"25,200.00",150,405.20,406.50,75,-55.00,405.00,19.45,"4,930",348,"1,529",
,"1,687",515,"6,374",17.43,194.20,56.35,525,194.55,195.05,150,"25,250.00",75,433.30,435.05,75,-50.00,437.35,19.13,777,188,285,
,"6,121","1,540","17,473",17.15,176.75,54.10,75,175.95,176.45,300,"25,300.00",150,463.95,465.95,75,-59.55,467.85,19.07,"1,265",130,372,
,"1,123",-151,"5,683",17.08,157.85,48.40,225,157.70,158.15,375,"25,350.00",75,496.05,498.30,75,-67.75,498.00,19.00,386,41,108,
,"5,782",955,"16,826",17.02,141.55,45.85,150,141.15,141.50,75,"25,400.00",75,528.95,531.30,75,-67.30,530.85,19.38,499,95,258,
,958,400,"4,894",17.00,123.50,39.45,75,125.95,126.25,75,"25,450.00",75,563.15,566.60,225,-33.80,566.05,19.44,45,16,49,
,"10,496","1,371","40,018",16.96,112.65,38.50,225,112.10,112.45,375,"25,500.00",75,599.85,602.30,75,-75.70,602.45,19.32,"1,417",136,619,
,"1,047",130,"6,704",16.93,99.05,34.70,150,99.25,99.60,75,"25,550.00",375,636.05,639.95,75,-75.50,637.05,18.44,33,6,35,
,"4,604","2,015","20,888",16.86,87.90,31.75,450,87.70,88.00,75,"25,600.00",150,674.15,677.90,75,-85.80,677.20,19.53,56,19,43,
,"1,574","1,102","5,745",16.79,77.15,28.20,150,76.75,77.05,450,"25,650.00",150,710.70,716.25,750,-50.30,720.80,19.47,36,23,32,
,"4,199",852,"19,395",16.82,67.55,25.30,600,67.20,67.40,225,"25,700.00",300,753.05,757.95,750,-79.95,755.10,19.83,70,43,60,
,"1,127",556,"4,006",16.72,57.55,20.45,300,58.60,59.15,"1,350","25,750.00",150,792.25,801.20,75,-46.25,811.00,21.19,1,-,6,
,"5,539","1,100","22,729",16.72,51.45,19.80,375,51.15,51.35,375,"25,800.00",375,840.00,844.95,75,-169.05,763.00,11.15,20,14,29,
,524,121,"2,910",16.78,45.00,16.75,300,44.70,45.05,750,"25,850.00",150,877.35,888.20,150,-59.55,887.00,-,2,1,11,
,"3,625","1,362","13,159",16.73,38.80,14.70,150,38.75,38.90,450,"25,900.00",300,925.00,928.95,750,-69.55,923.20,20.27,29,18,32,
,770,158,"2,444",16.82,33.05,12.00,75,33.65,33.85,75,"25,950.00",75,967.40,975.25,750,-82.70,975.80,20.48,10,5,18,
,"12,540","2,848","37,381",16.75,29.30,11.10,"2,625",29.20,29.30,225,"26,000.00",150,"1,014.15","1,019.40",750,-95.55,"1,023.45",20.96,393,101,159,
,606,124,"2,707",16.87,25.05,8.65,750,25.50,25.75,900,"26,050.00",225,"1,052.15","1,078.15",225,-,-,-,-,-,14,
,"2,502",366,"9,299",16.89,21.55,7.75,225,21.85,22.05,825,"26,100.00",300,"1,108.00","1,114.00",300,-,-,-,-,-,4,
,611,117,"3,827",16.91,19.10,7.25,825,19.10,19.25,300,"26,150.00",225,"1,144.95","1,174.15",225,-,-,-,-,-,5,
,"4,380",383,"9,484",16.97,16.45,6.20,675,16.40,16.55,375,"26,200.00",150,"1,192.90","1,212.50",150,-85.30,"1,190.00",20.73,7,4,10,
,677,302,"2,563",17.00,14.35,5.00,75,14.35,14.50,750,"26,250.00",225,"1,240.40","1,267.55",225,-,-,-,-,-,5,
,"4,677","1,968","9,365",17.15,12.35,4.55,"1,050",12.35,12.45,225,"26,300.00",225,"1,287.80","1,316.60",225,-,-,-,-,-,5,
,495,260,"1,641",17.21,10.65,3.65,450,10.65,10.80,750,"26,350.00",75,"1,334.50","1,365.90",750,-,-,-,-,-,5,
,"2,287","1,072","5,980",17.14,9.10,3.00,300,9.00,9.10,"1,050","26,400.00",150,"1,384.05","1,413.20",150,-,-,-,-,-,4,
,423,205,"2,096",17.40,8.25,2.45,900,8.00,8.15,600,"26,450.00",75,"1,431.05","1,477.90",825,-,-,-,-,-,3,
,"7,882","2,101","14,856",17.44,6.90,1.90,225,7.05,7.15,"2,925","26,500.00",750,"1,472.60","1,519.90",750,-,-,-,-,-,6,
,657,408,"1,308",17.46,6.05,1.70,825,6.00,6.15,750,"26,550.00",75,"1,527.95","1,569.10",750,-,-,-,-,-,4,
,"2,677","1,454","5,313",17.49,5.00,1.15,900,5.05,5.15,"1,200","26,600.00",750,"1,576.60","1,618.45",750,-,-,-,-,-,5,
,"1,023",786,"2,559",17.60,4.45,0.95,"1,050",4.45,4.55,"2,925","26,650.00",750,"1,625.40","1,668.05",750,-,-,-,-,-,4,
,"6,443","3,508","10,117",17.56,3.70,0.80,"2,100",3.55,3.65,"1,875","26,700.00",750,"1,673.95","1,717.45",750,-,-,-,-,-,3,
,638,421,"2,077",17.72,3.30,0.40,675,3.20,3.25,525,"26,750.00",750,"1,723.05","1,767.30",750,-,-,-,-,-,4,
,"8,761",418,"14,591",17.80,2.85,0.25,"18,525",2.80,2.90,"8,775","26,800.00",750,"1,772.15","1,817.10",750,-,-,-,-,-,4,
